programme,male,female,total,year
Accountancy,661,844,1505,2018
Accountancy and Business,337,339,676,2018
Art Design & Media,193,473,666,2018
Aerospace Engineering,391,68,459,2018
Aerospace Engineering and Economics,25,7,32,2018
Bioengineering,140,206,346,2018
Bioengineering and Economics,1,0,1,2018
Biomedical Sciences,35,103,138,2018
Biological Sciences,335,494,829,2018
Biological Sciences and Psychology,7,24,31,2018
Business,747,966,1713,2018
Business & Computing,98,50,148,2018
Business & Computer Engineering,12,4,16,2018
Chemical & Biomolecular Engineering ,351,181,532,2018
Chemical & Biomolecular Engineering and Economics,18,5,23,2018
Civil Engineering,256,154,410,2018
Civil Engineering and Economics,4,1,5,2018
Chemistry & Biological Chemistry,354,518,872,2018
Chinese,58,328,386,2018
Communication Studies,178,600,778,2018
Computer Engineering,227,30,257,2018
Computer Engineering and Economics,2,0,2,2018
Computer Science,960,373,1333,2018
Computer Science and Economics,3,5,8,2018
Data Science and Artificial Intelligence,12,12,24,2018
Economics,210,258,468,2018
Economics and Media Analytics,0,3,3,2018
Economics and Psychology,5,20,25,2018
Economics and Public Policy & Global Affairs,7,12,19,2018
Electrical & Electronic Engineering,1632,635,2267,2018
Electrical & Electronic Engineering and Economics,3,1,4,2018
Engineering,535,207,742,2018
English,96,355,451,2018
English Literature and Art History,2,19,21,2018
Environmental Earth Systems Science,38,79,117,2018
Environmental Earth Systems Science and Public & Global Affairs,0,6,6,2018
Environmental Engineering,70,65,135,2018
Environmental Engineering and Economics,1,1,2,2018
History,98,157,255,2018
Information Engineering & Media,139,192,331,2018
Linguistics & Multilingual Studies,72,260,332,2018
Mathematics & Economics,95,103,198,2018
Mathematical Sciences,268,410,678,2018
Mathematical Sciences and Economics,10,11,21,2018
Maritime Studies,145,191,336,2018
Materials Engineering,465,316,781,2018
Materials Engineering and Economics,4,0,4,2018
Mechanical Engineering,1641,268,1909,2018
Mechanical Engineering and Economics,8,3,11,2018
Medicine,348,186,534,2018
Philosophy,48,106,154,2018
Physics & Applied Physics,317,99,416,2018
Psychology,145,362,507,2018
Psychology and Linguistics & Multilingual Studies,0,17,17,2018
Psychology and Media Analytics,3,17,20,2018
Public Policy and Global Affairs,113,123,236,2018
Renaissance Engineering,215,81,296,2018
Sociology,124,341,465,2018
Sport Science & Management,155,144,299,2018
Arts(Education),50,236,286,2018
Science(Education),47,82,129,2018
